Id	Name	Icon	ItemType	Tier
1	fruit_1	fruit_1	Fruit	1
2	fruit_2	fruit_2	Fruit	2
3	fruit_3	fruit_3	Fruit	3
4	fruit_4	fruit_4	Fruit	4
5	fruit_5	fruit_5	Fruit	5
6	fruit_6	fruit_6	Fruit	6
7	fruit_7	fruit_7	Fruit	7
8	meat_1	meat_1	Meat	1
9	meat_2	meat_2	Meat	2
10	meat_3	meat_3	Meat	3
11	meat_4	meat_4	Meat	4
12	meat_5	meat_5	Meat	5
13	meat_6	meat_6	Meat	6
14	meat_7	meat_7	Meat	7
15	vegetable_1	vegetable_1	Vegetable	1
16	vegetable_2	vegetable_2	Vegetable	2
17	vegetable_3	vegetable_3	Vegetable	3
18	vegetable_4	vegetable_4	Vegetable	4
19	vegetable_5	vegetable_5	Vegetable	5
20	vegetable_6	vegetable_6	Vegetable	6
21	vegetable_7	vegetable_7	Vegetable	7